date,session_key,y,x,z,meeting_key,driver_number
2024-04-07T05:27:42.841000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:43.141000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:43.441000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:43.581000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:43.841000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:44.061000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:44.421000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:44.561000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:44.861000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:45.081000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:45.421000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:45.661000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:46.141000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:46.362000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:46.721000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:46.981000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:47.341000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:47.502000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:47.861000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:48.161000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:48.322000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:48.522000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:48.802000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:48.981000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:49.182000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:49.401000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:49.501000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:49.741000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:49.941000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:50.461000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:50.581000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:50.841000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:51.261000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:51.581000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:51.782000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:52.062000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:52.282000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:52.441000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:52.661000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:52.862000+00:00,9496,-3383,3693,766,1232,1
